number,company_id
2 23266XXX,6
2 23267XXX,6
2 23268XXX,6
2 23269XXX,6
2 23270XXX,1
2 23271XXX,1
2 23272XXX,1
2 23273XXX,1
2 23274XXX,1
2 23275XXX,1
2 23276XXX,1
2 23277XXX,1
2 23278XXX,1
2 23279XXX,1
2 23280XXX,1
2 23281XXX,1
2 23282XXX,1
2 23283XXX,1
2 23284XXX,1
2 23285XXX,1
2 23286XXX,1
2 23287XXX,1
2 23288XXX,1
2 23289XXX,1
2 23290XXX,1
2 23291XXX,1
2 23292XXX,1
2 23293XXX,1
2 23294XXX,1
2 23295XXX,1
2 23296XXX,1
2 23297XXX,1
2 23298XXX,1
2 23299XXX,1
2 23300XXX,1
2 23301XXX,1
2 23302XXX,1
2 23303XXX,1
2 23304XXX,1
2 23305XXX,1
2 23306XXX,1
2 23307XXX,1
2 23308XXX,1
2 23309XXX,1
2 23310XXX,1
2 23311XXX,1
2 23312XXX,1
2 23313XXX,1
2 23314XXX,1
2 23315XXX,1
2 23316XXX,1
2 23317XXX,1
2 23318XXX,1
2 23319XXX,1
2 23320XXX,1
2 23321XXX,1
2 23322XXX,1
2 23323XXX,1
2 23324XXX,1
2 23325XXX,1
2 23326XXX,1
2 23327XXX,1
2 23328XXX,1
2 23329XXX,1
2 23330XXX,1
2 23331XXX,1
2 23332XXX,1
2 23333XXX,1
2 23334XXX,1
2 23335XXX,1
2 23336XXX,1
2 23337XXX,1
2 23338XXX,1
2 23339XXX,1
2 23340XXX,1
2 23341XXX,1
2 23342XXX,1
2 23343XXX,1
2 23344XXX,1
2 23345XXX,1
2 23346XXX,1
2 23347XXX,1
2 23348XXX,1
2 23349XXX,1
2 23350XXX,1
2 23351XXX,1
2 23352XXX,1
2 23353XXX,1
2 23354XXX,1
2 23355XXX,1
2 23356XXX,1
2 23357XXX,1
2 23358XXX,1
2 23359XXX,1
2 23360XXX,1
2 23361XXX,1
2 23362XXX,1
2 23363XXX,1
2 23364XXX,1
2 23365XXX,1
2 23366XXX,1
2 23367XXX,1
2 23368XXX,1
2 23369XXX,1
2 23370XXX,1
2 23371XXX,1
2 23372XXX,1
2 23373XXX,1
2 23374XXX,1
2 23375XXX,1
2 23376XXX,1
2 23377XXX,1
2 23378XXX,1
2 23379XXX,1
2 23380XXX,1
2 23381XXX,1
2 23382XXX,1
2 23383XXX,1
2 23384XXX,1
2 23385XXX,1
2 23386XXX,1
2 23387XXX,1
2 23388XXX,1
2 23389XXX,1
2 23390XXX,1
2 23391XXX,1
2 23392XXX,1
2 23393XXX,1
2 23394XXX,1
2 23395XXX,1
2 23396XXX,1
2 23397XXX,1
2 23398XXX,1
2 23399XXX,1
2 23400XXX,1
2 23401XXX,1
